id,state,lgbt,FUNDOTHSTATE,FUNDLOCALGOV,FUNDSMHA,FUNDSTATEWELFARE,FUNDSTATEJUV,FUNDSTATEEDUC
201900435,AR,0,1,0,0,0,0,0
201900436,AR,0,1,1,1,1,1,1
201900437,AR,0,0,0,0,0,0,0
201900438,AR,0,0,0,0,0,0,0
201900439,AR,0,0,0,0,0,0,0
201900440,AR,0,1,1,1,1,1,1
201900441,AR,0,0,0,0,0,0,0
201900442,AR,0,0,0,1,1,0,1
201900443,AR,0,0,0,0,0,0,0
201900444,AR,0,0,0,0,0,0,0
201900445,AR,1,0,0,1,0,0,0
201900446,AR,0,0,0,0,0,0,0
201900447,AR,0,0,0,0,0,0,0
201900448,AR,0,0,1,1,0,1,0
201900449,AR,0,0,0,1,0,0,0
201900450,AR,0,0,0,0,0,0,0
201900451,AR,0,1,1,1,1,1,1
201900452,AR,0,0,0,0,0,0,0
201900453,AR,0,1,1,1,1,1,1
201900454,AR,0,1,1,1,1,1,1
201900455,AR,0,1,1,1,1,1,1
201900456,AR,0,1,1,1,1,1,1
201900457,AR,0,0,0,1,1,1,0
201900458,AR,0,0,0,0,0,0,0
201900459,AR,1,0,0,0,0,0,0
201900460,AR,0,0,0,0,0,0,0
201900461,AR,1,0,0,0,0,0,0
201900462,AR,0,0,0,0,0,0,0
201900463,AR,0,0,0,1,1,0,0
201900464,AR,0,0,0,1,0,0,0
201900465,AR,0,1,1,1,1,1,1
201900466,AR,0,0,0,1,1,0,0
201900467,AR,0,1,0,1,1,0,0
201900468,AR,1,0,0,0,0,0,0
201900469,AR,0,0,0,1,0,0,0
201900470,AR,1,0,0,1,0,0,0
201900471,AR,1,0,0,0,0,0,0
201900472,AR,1,0,0,1,1,0,0
201900473,AR,0,0,0,0,0,0,0
201900474,AR,0,0,0,1,0,0,0
201900475,AR,0,1,0,1,0,0,0
201900476,AZ,0,0,1,0,1,1,1
201900477,AZ,0,0,1,0,1,1,1
201900478,AZ,0,0,0,0,1,0,0
201900479,AZ,0,0,0,1,0,0,0
201900480,AZ,0,0,0,0,0,0,0
201900481,AZ,0,0,0,0,0,0,0
201900482,AZ,1,1,1,1,1,0,0
201900483,AZ,1,1,1,1,1,1,0
201900484,AZ,0,0,0,1,1,1,0
201900485,AZ,0,0,0,0,0,0,0
201900486,AZ,0,0,0,0,0,0,0
201900487,AZ,1,1,1,1,1,1,0
201900488,AZ,0,0,0,1,1,0,0
201900489,AZ,0,0,0,0,1,0,0
201900490,AZ,0,0,1,0,0,1,0
201900491,AZ,0,0,0,0,0,0,0
201900492,AZ,0,0,0,0,0,0,0
201900493,AZ,1,1,1,1,1,1,1
201900494,AZ,1,0,0,1,0,0,0
201900495,AZ,0,0,0,0,0,0,0
201900496,AZ,0,0,0,0,0,0,0
201900497,AZ,0,0,1,1,0,0,0
201900498,AZ,0,0,0,0,0,0,0
201900499,AZ,1,0,0,0,0,0,0
201900500,AZ,0,0,0,1,0,0,0
201900501,AZ,0,0,0,1,0,1,0
201900502,AZ,0,0,1,1,1,1,0
201900503,AZ,1,0,1,1,1,0,0
201900504,AZ,0,0,0,1,1,0,0
201900505,AZ,0,0,0,1,1,1,0
201900506,AZ,0,1,1,1,1,1,0
201900507,AZ,0,0,0,0,0,0,0
201900508,AZ,0,0,1,1,0,1,0
201900509,AZ,0,1,1,1,1,1,1
201900510,AZ,1,0,0,1,1,0,0
201900511,AZ,0,0,0,0,0,0,0
201900512,AZ,0,0,0,0,0,0,0
201900513,AZ,0,0,0,1,1,0,0
201900514,AZ,0,0,0,0,0,0,0
201900515,AZ,1,0,0,1,1,0,0
201900516,AZ,0,0,0,0,0,0,0
201900517,AZ,0,0,0,1,1,0,0
201900518,AZ,1,1,1,1,1,1,0
201900519,AZ,0,1,0,0,1,0,0
201900520,AZ,0,1,0,1,1,0,0
201900521,AZ,1,0,0,1,1,0,1
201900522,AZ,1,1,1,1,1,1,1
201900523,AZ,0,0,0,1,1,0,0
201900524,AZ,0,0,0,0,1,0,0
201900525,AZ,1,0,1,0,0,0,0
201900526,AZ,0,0,0,1,1,1,1
201900527,AZ,0,0,0,1,1,1,1
201900528,AZ,0,0,0,1,1,1,1
201900529,AZ,0,0,1,1,1,1,0
201900530,AZ,1,0,0,1,0,0,0
201900531,AZ,0,0,0,0,0,0,0
201900532,AZ,0,0,0,1,0,0,0
201900533,AZ,0,0,0,1,1,1,1
201900534,AZ,0,0,0,1,1,1,1
201900535,AZ,0,1,0,1,0,0,1
201900536,AZ,0,0,1,1,0,0,0
201900537,AZ,0,0,1,1,0,0,0
201900538,AZ,1,1,1,1,0,1,0
201900539,AZ,0,0,1,0,1,0,0
201900540,AZ,0,0,0,1,0,0,0
201900541,AZ,0,1,1,1,0,1,0
201900542,AZ,0,1,1,1,0,1,0
201900543,AZ,0,0,0,1,0,0,0
201900544,AZ,0,0,0,1,1,0,0
201900545,AZ,0,0,1,1,0,0,0
201900546,AZ,0,0,0,1,0,0,0
201900547,AZ,0,1,0,1,1,0,0
201900548,AZ,1,0,0,1,0,0,0
201900549,AZ,1,0,0,0,0,0,0
201900550,AZ,1,0,0,0,0,0,0
201900551,AZ,0,0,0,0,1,0,0
201900552,AZ,0,0,0,0,1,0,0
201900553,AZ,0,0,0,0,0,0,0
201900554,AZ,0,0,1,1,0,0,0
201900555,AZ,0,0,0,0,1,1,0
201900556,AZ,1,1,1,1,1,1,0
201900557,AZ,1,0,0,1,1,1,0
201900558,AZ,1,1,1,0,0,1,0
201900559,AZ,0,1,0,1,0,0,0
201900560,AZ,0,1,0,1,1,0,0
201900561,AZ,0,0,0,0,0,0,0
201900562,AZ,1,0,0,0,0,0,0
201900563,AZ,1,0,1,1,1,1,1
201900564,AZ,0,0,0,1,0,0,0
201900565,AZ,1,1,0,1,0,0,0
201900566,AZ,0,0,0,0,0,1,0
201900567,AZ,0,0,0,0,0,0,0
201900568,AZ,1,1,1,1,1,1,1
201900569,AZ,1,0,0,1,0,0,0
201900570,AZ,1,0,1,1,1,0,0
201900571,AZ,0,1,0,1,1,0,0
201900572,AZ,0,1,0,1,1,0,0
201900573,AZ,0,0,0,1,1,0,0
201900574,AZ,0,1,1,1,0,0,0
201900575,AZ,1,0,0,0,0,0,0
201900576,AZ,0,0,0,1,0,0,0
201900577,AZ,0,0,0,0,0,0,0
201900578,AZ,0,0,0,1,0,0,0
201900579,AZ,0,0,0,1,0,0,0
201900580,AZ,0,0,0,1,1,0,0
201900581,AZ,0,0,0,1,0,0,0
201900582,AZ,0,1,0,1,0,0,0
201900583,AZ,0,0,0,1,0,0,0
201900584,AZ,0,0,0,1,0,0,0
201900585,AZ,0,0,0,0,0,0,0
201900586,AZ,0,0,0,1,0,0,0
201900587,AZ,1,0,0,1,1,0,0
201900588,AZ,1,0,0,0,1,0,0
201900589,AZ,0,0,0,0,0,0,0
201900590,AZ,0,0,0,0,0,0,0
201900591,AZ,0,0,0,1,1,0,0
201900592,AZ,0,0,0,1,0,0,0
201900593,AZ,1,0,1,1,0,0,0
201900594,AZ,1,1,1,1,1,1,1
201900595,AZ,1,0,0,1,1,1,0
201900596,AZ,0,0,0,1,1,0,0
