state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,l_lgbtq_perc,l2_lgbtq_perc,l3_lgbtq_perc,l4_lgbtq_perc,l5_lgbtq_perc,l6_lgbtq_perc,fd_govt_fund,fd_l_govt_fund,fd_l2_govt_fund,fd_l3_govt_fund,fd_l4_govt_fund
south carolina,40,2014,26,107,19.548872180451127,80.45112781954887,1,4.597701149425287,40,1,11,80.45977011494253,80.88235294117648,142,48.275862068965516,83.14960629921259,41,98.85057471264368,93.29896907216495,37,29.88505747126437,79.26829268292683,121,2.2988505747126435,87.80068728522336,334,66.66666666666666,79.90990990990991,16.176470588235293,22.362204724409448,21.1340206185567,22.5609756097561,20.790378006872853,30.090090090090087,-0.4312251216276053,-2.2672533580361147,-10.149362772952358,14.030676389238124,-8.532394602296534
south dakota,41,2014,15,51,27.27272727272727,92.72727272727272,1,4.597701149425287,41,1,26,4.597701149425287,80.45112781954887,11,80.45977011494253,80.88235294117648,142,48.275862068965516,83.14960629921259,41,98.85057471264368,93.29896907216495,37,29.88505747126437,79.26829268292683,121,2.2988505747126435,87.80068728522336,19.548872180451127,16.176470588235293,22.362204724409448,21.1340206185567,22.5609756097561,20.790378006872853,12.276144907723847,-0.4312251216276053,-2.2672533580361147,-10.149362772952358,14.030676389238124
tennessee,42,2014,57,272,17.75700934579439,84.73520249221184,1,4.597701149425287,42,1,15,4.597701149425287,92.72727272727272,26,4.597701149425287,80.45112781954887,11,80.45977011494253,80.88235294117648,142,48.275862068965516,83.14960629921259,41,98.85057471264368,93.29896907216495,37,29.88505747126437,79.26829268292683,27.27272727272727,19.548872180451127,16.176470588235293,22.362204724409448,21.1340206185567,22.5609756097561,-7.992070235060879,12.276144907723847,-0.4312251216276053,-2.2672533580361147,-10.149362772952358
texas,43,2014,68,299,20,87.94117647058823,1,16.091954022988507,43,1,57,4.597701149425287,84.73520249221184,15,4.597701149425287,92.72727272727272,26,4.597701149425287,80.45112781954887,11,80.45977011494253,80.88235294117648,142,48.275862068965516,83.14960629921259,41,98.85057471264368,93.29896907216495,17.75700934579439,27.27272727272727,19.548872180451127,16.176470588235293,22.362204724409448,21.1340206185567,3.2059739783763916,-7.992070235060879,12.276144907723847,-0.4312251216276053,-2.2672533580361147
utah,44,2014,29,103,24.369747899159663,86.5546218487395,1,16.091954022988507,44,1,68,16.091954022988507,87.94117647058823,57,4.597701149425287,84.73520249221184,15,4.597701149425287,92.72727272727272,26,4.597701149425287,80.45112781954887,11,80.45977011494253,80.88235294117648,142,48.275862068965516,83.14960629921259,20,17.75700934579439,27.27272727272727,19.548872180451127,16.176470588235293,22.362204724409448,-1.386554621848731,3.2059739783763916,-7.992070235060879,12.276144907723847,-0.4312251216276053
virginia,45,2014,71,294,22.468354430379748,93.0379746835443,1,39.08045977011494,45,1,29,16.091954022988507,86.5546218487395,68,16.091954022988507,87.94117647058823,57,4.597701149425287,84.73520249221184,15,4.597701149425287,92.72727272727272,26,4.597701149425287,80.45112781954887,11,80.45977011494253,80.88235294117648,24.369747899159663,20,17.75700934579439,27.27272727272727,19.548872180451127,16.176470588235293,6.483352834804805,-1.386554621848731,3.2059739783763916,-7.992070235060879,12.276144907723847
vermont,46,2014,20,78,23.52941176470588,91.76470588235294,1,89.65517241379311,46,1,71,39.08045977011494,93.0379746835443,29,16.091954022988507,86.5546218487395,68,16.091954022988507,87.94117647058823,57,4.597701149425287,84.73520249221184,15,4.597701149425287,92.72727272727272,26,4.597701149425287,80.45112781954887,22.468354430379748,24.369747899159663,20,17.75700934579439,27.27272727272727,19.548872180451127,-1.2732688011913638,6.483352834804805,-1.386554621848731,3.2059739783763916,-7.992070235060879
washington,47,2014,54,241,20.76923076923077,92.6923076923077,1,89.65517241379311,47,1,20,89.65517241379311,91.76470588235294,71,39.08045977011494,93.0379746835443,29,16.091954022988507,86.5546218487395,68,16.091954022988507,87.94117647058823,57,4.597701149425287,84.73520249221184,15,4.597701149425287,92.72727272727272,23.52941176470588,22.468354430379748,24.369747899159663,20,17.75700934579439,27.27272727272727,0.9276018099547514,-1.2732688011913638,6.483352834804805,-1.386554621848731,3.2059739783763916
wisconsin,48,2014,116,378,25.108225108225106,81.81818181818183,1,73.5632183908046,48,1,54,89.65517241379311,92.6923076923077,20,89.65517241379311,91.76470588235294,71,39.08045977011494,93.0379746835443,29,16.091954022988507,86.5546218487395,68,16.091954022988507,87.94117647058823,57,4.597701149425287,84.73520249221184,20.76923076923077,23.52941176470588,22.468354430379748,24.369747899159663,20,17.75700934579439,-10.874125874125866,0.9276018099547514,-1.2732688011913638,6.483352834804805,-1.386554621848731
west virginia,49,2014,24,104,20.51282051282051,88.88888888888889,1,9.195402298850574,49,1,116,73.5632183908046,81.81818181818183,54,89.65517241379311,92.6923076923077,20,89.65517241379311,91.76470588235294,71,39.08045977011494,93.0379746835443,29,16.091954022988507,86.5546218487395,68,16.091954022988507,87.94117647058823,25.108225108225106,20.76923076923077,23.52941176470588,22.468354430379748,24.369747899159663,20,7.0707070707070585,-10.874125874125866,0.9276018099547514,-1.2732688011913638,6.483352834804805
