state,case_state,year,lgbtq_total,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,fd_lgbtq_total,fd_state_policy,fd_govt_fund,fd_l_lgbtq_total,fd_l_state_policy,fd_l_govt_fund,fd_l2_lgbtq_total,fd_l2_state_policy,fd_l2_govt_fund,fd_l3_lgbtq_total,fd_l3_state_policy,fd_l3_govt_fund,fd_l4_lgbtq_total,fd_l4_state_policy,fd_l4_govt_fund
washington,47,2014,54,241,1,89.65517241379311,47,1,20,89.65517241379311,78,71,39.08045977011494,294,29,16.091954022988507,103,68,16.091954022988507,299,57,4.597701149425287,272,15,4.597701149425287,51,34,0,163,-51,50.57471264367817,-216,42,22.988505747126435,191,-39,0,-196,11,11.49425287356322,27
wisconsin,48,2014,116,378,1,73.5632183908046,48,1,54,89.65517241379311,241,20,89.65517241379311,78,71,39.08045977011494,294,29,16.091954022988507,103,68,16.091954022988507,299,57,4.597701149425287,272,62,-16.091954022988517,137,34,0,163,-51,50.57471264367817,-216,42,22.988505747126435,191,-39,0,-196
west virginia,49,2014,24,104,1,9.195402298850574,49,1,116,73.5632183908046,378,54,89.65517241379311,241,20,89.65517241379311,78,71,39.08045977011494,294,29,16.091954022988507,103,68,16.091954022988507,299,-92,-64.36781609195401,-274,62,-16.091954022988517,137,34,0,163,-51,50.57471264367817,-216,42,22.988505747126435,191
wyoming,50,2014,16,54,1,6.896551724137931,50,1,24,9.195402298850574,104,116,73.5632183908046,378,54,89.65517241379311,241,20,89.65517241379311,78,71,39.08045977011494,294,29,16.091954022988507,103,-8,-2.2988505747126435,-50,-92,-64.36781609195401,-274,62,-16.091954022988517,137,34,0,163,-51,50.57471264367817,-216
alaska,1,2015,17,95,2,11.39240506329114,51,4,16,6.896551724137931,54,24,9.195402298850574,104,116,73.5632183908046,378,54,89.65517241379311,241,20,89.65517241379311,78,71,39.08045977011494,294,1,4.495853339153209,41,-8,-2.2988505747126435,-50,-92,-64.36781609195401,-274,62,-16.091954022988517,137,34,0,163
alabama,2,2015,16,178,2,0,52,4,17,11.39240506329114,95,16,6.896551724137931,54,24,9.195402298850574,104,116,73.5632183908046,378,54,89.65517241379311,241,20,89.65517241379311,78,-1,-11.39240506329114,83,1,4.495853339153209,41,-8,-2.2988505747126435,-50,-92,-64.36781609195401,-274,62,-16.091954022988517,137
arkansas,3,2015,20,188,2,8.860759493670885,53,4,16,0,178,17,11.39240506329114,95,16,6.896551724137931,54,24,9.195402298850574,104,116,73.5632183908046,378,54,89.65517241379311,241,4,8.860759493670885,10,-1,-11.39240506329114,83,1,4.495853339153209,41,-8,-2.2988505747126435,-50,-92,-64.36781609195401,-274
arizona,4,2015,87,316,2,12.025316455696203,54,4,20,8.860759493670885,188,16,0,178,17,11.39240506329114,95,16,6.896551724137931,54,24,9.195402298850574,104,116,73.5632183908046,378,67,3.1645569620253173,128,4,8.860759493670885,10,-1,-11.39240506329114,83,1,4.495853339153209,41,-8,-2.2988505747126435,-50
california,5,2015,210,757,2,76.58227848101265,55,4,87,12.025316455696203,316,20,8.860759493670885,188,16,0,178,17,11.39240506329114,95,16,6.896551724137931,54,24,9.195402298850574,104,123,64.55696202531645,441,67,3.1645569620253173,128,4,8.860759493670885,10,-1,-11.39240506329114,83,1,4.495853339153209,41
colorado,6,2015,42,190,2,60.12658227848101,56,4,210,76.58227848101265,757,87,12.025316455696203,316,20,8.860759493670885,188,16,0,178,17,11.39240506329114,95,16,6.896551724137931,54,-168,-16.45569620253164,-567,123,64.55696202531645,441,67,3.1645569620253173,128,4,8.860759493670885,10,-1,-11.39240506329114,83
connecticut,7,2015,47,206,2,62.0253164556962,57,4,42,60.12658227848101,190,210,76.58227848101265,757,87,12.025316455696203,316,20,8.860759493670885,188,16,0,178,17,11.39240506329114,95,5,1.8987341772151893,16,-168,-16.45569620253164,-567,123,64.55696202531645,441,67,3.1645569620253173,128,4,8.860759493670885,10
