region,case_state,year,lgbtq_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,perc_confirmed,lgbtq_actual
maine,21,2012,13,5.82959641255605,33.6322869955157,3,62.0689655172414,121,0.264705882352941,3.44117647058824
michigan,22,2012,35,7.15746421267894,57.0552147239264,3,11.4942528735632,122,0.168224299065421,5.88785046728972
minnesota,23,2012,16,4.61095100864553,53.314121037464,3,39.0804597701149,123,0.135802469135802,2.17283950617284
missouri,24,2012,8,2.82685512367491,77.7385159010601,3,13.7931034482759,124,0.0571428571428571,0.457142857142857
mississippi,25,2012,3,2.65486725663717,68.141592920354,3,4.59770114942529,125,0.136363636363636,0.409090909090909
montana,26,2012,3,4.34782608695652,78.2608695652174,3,11.4942528735632,126,0.0454545454545455,0.136363636363636
north carolina,27,2012,22,4.74137931034483,41.8103448275862,3,16.0919540229885,127,0.0648648648648649,1.42702702702703
north dakota,28,2012,2,3.125,37.5,3,9.19540229885057,128,0.25,0.5
nebraska,29,2012,5,4.0650406504065,78.0487804878049,3,13.7931034482759,129,0.368421052631579,1.84210526315789
new hampshire,30,2012,32.883830405962,7.54702825904539,59.3220338983051,3,71.264367816092,130,0,1.62870049351888
new jersey,31,2012,19,5.06666666666667,56.5333333333333,3,82.7586206896552,131,0.099236641221374,1.88549618320611
new mexico,32,2012,10,6.45161290322581,78.0645161290323,3,52.8735632183908,132,0.137931034482759,1.37931034482759
nevada,33,2012,6,6.89655172413793,58.6206896551724,3,66.6666666666667,133,0.159090909090909,0.954545454545455
new york,34,2012,67,7.18113612004287,57.8778135048232,3,71.264367816092,134,0.139130434782609,9.32173913043478
ohio,35,2012,13,3.38541666666667,71.875,3,2.29885057471264,135,0.12280701754386,1.59649122807018
oklahoma,36,2012,17,7.79816513761468,56.8807339449541,3,4.59770114942529,136,0.127272727272727,2.16363636363636
oregon,37,2012,17,7.20338983050847,63.5593220338983,3,78.1609195402299,137,0.0784313725490196,1.33333333333333
pennsylvania,38,2012,39,7.00179533213645,56.1938958707361,3,20.6896551724138,138,0.225563909774436,8.79699248120301
rhode island,39,2012,3,4.76190476190476,65.0793650793651,3,66.6666666666667,139,0.142857142857143,0.428571428571429
south carolina,40,2012,3,2.94117647058824,53.921568627451,3,9.19540229885057,140,0.0714285714285714,0.214285714285714
south dakota,41,2012,2,2.98507462686567,76.1194029850746,3,9.19540229885057,141,0.111111111111111,0.222222222222222
tennessee,42,2012,8,3.34728033472803,65.6903765690377,3,11.4942528735632,142,0.05,0.4
texas,43,2012,19,3.97489539748954,53.9748953974895,3,20.6896551724138,143,0.096,1.824
utah,44,2012,10,5.95238095238095,50.5952380952381,3,0,144,0.128205128205128,1.28205128205128
virginia,45,2012,3,1.29310344827586,61.6379310344828,3,13.7931034482759,145,0.0816326530612245,0.244897959183673
vermont,46,2012,3,6.97674418604651,76.7441860465116,3,71.264367816092,146,0.333333333333333,1
washington,47,2012,14,2.98507462686567,54.7974413646055,3,80.4597701149425,147,0.115942028985507,1.6231884057971
wisconsin,48,2012,13,3.85756676557863,52.5222551928783,3,45.9770114942529,148,0.0476190476190476,0.619047619047619
west virginia,49,2012,3,3.2258064516129,73.1182795698925,3,9.19540229885057,149,0,0
wyoming,50,2012,3,5.55555555555556,87.037037037037,3,9.19540229885057,150,0.0588235294117647,0.176470588235294
alaska,1,2013,8,8.60215053763441,70.9677419354839,4,8.60215053763441,151,0,0
alabama,2,2013,14,9.09090909090909,56.4935064935065,4,6.45161290322581,152,0.0384615384615385,0.538461538461539
arkansas,3,2013,9,10.1123595505618,70.7865168539326,4,25.8064516129032,153,0.0294117647058824,0.264705882352941
arizona,4,2013,43,13.7380191693291,48.2428115015974,4,25.8064516129032,154,0.149606299212598,6.43307086614173
california,5,2013,333,21.4700193423598,57.9626047711154,4,98.9247311827957,155,0.151202749140893,50.3505154639175
colorado,6,2013,83,17.0081967213115,46.9262295081967,4,88.1720430107527,156,0.158415841584158,13.1485148514851
connecticut,7,2013,34,16.0377358490566,72.6415094339623,4,90.3225806451613,157,0.0677966101694915,2.30508474576271
delaware,8,2013,7,16.6666666666667,64.2857142857143,4,86.0215053763441,158,0.0833333333333333,0.583333333333333
florida,9,2013,84,13.5048231511254,48.0707395498392,4,15.0537634408602,159,0.122065727699531,10.2535211267606
georgia,10,2013,49,13.6111111111111,34.7222222222222,4,15.0537634408602,160,0.101123595505618,4.95505617977528
hawaii,11,2013,5,4.0650406504065,86.1788617886179,4,75.2688172043011,161,0,0
iowa,12,2013,9,6.25,63.1944444444444,4,75.2688172043011,162,0.125,1.125
idaho,13,2013,10,8.54700854700855,59.8290598290598,4,17.2043010752688,163,0.08,0.8
illinois,14,2013,59,9.07692307692308,51.0769230769231,4,79.5698924731183,164,0.113475177304965,6.69503546099291
