region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
south dakota,SD,SO,2.5/6,0/4.5,-1/-3.5,-0.5/4,0/2,-1/2,--,0,-2.5,-2.5
south dakota,SD,GI,1/1,0/4.5,-1/-2.5,-0.5/4,0/4.5,-1/2,-1/4,0,-2.5,-2.5
tennessee,TN,SO,2.75/6,-1/4.5,-2.5/-3.5,1/4,0/2,0/2,--,0.25,-4.25,-4
tennessee,TN,GI,1/1,-1/4.5,-2.5/-2.5,1/4,-1.5/4.5,-0.25/2,-1/4,0.25,-4.25,-4
texas,TX,SO,2/6,0/4.5,-1.5/-3.5,-1/4,1/2,1/2,--,1.5,-3,-1.5
texas,TX,GI,0/1,0/4.5,-1.5/-2.5,-1/4,-0.5/4.5,0/2,0/4,1.5,-3,-1.5
u.s. virgin islands,NA,SO,2.5/6,0.5/4.5,0/-3.5,1/4,0/2,0.5/2,--,4.5,0,4.5
u.s. virgin islands,NA,GI,0/1,0.5/4.5,0/-2.5,0/4,0/4.5,0.5/2,-1/4,4.5,0,4.5
utah,UT,SO,1.5/6,2.5/4.5,0/-3.5,3/4,0/2,0/2,--,7,6.75,13.75
utah,UT,GI,0/1,2.5/4.5,0/-2.5,2.5/4,0/4.5,0/2,1.75/4,7,6.75,13.75
vermont,VT,SO,5.5/6,4.5/4.5,0/-3.5,3.5/4,2/2,1/2,--,16.5,17.5,34
vermont,VT,GI,1/1,4.5/4.5,0/-2.5,4/4,4/4.5,1/2,3/4,16.5,17.5,34
virginia,VA,SO,1.5/6,4.5/4.5,-1.5/-3.5,2/4,0.5/2,0.5/2,--,7.5,11.25,18.75
virginia,VA,GI,0/1,4.5/4.5,-1.5/-2.5,2/4,2.5/4.5,0.5/2,3.25/4,7.5,11.25,18.75
washington,WA,SO,4.25/6,4.5/4.5,0/-3.5,3.5/4,1.5/2,1.5/2,--,15.25,19,34.25
washington,WA,GI,1/1,4.5/4.5,0/-2.5,4/4,4/4.5,1.5/2,4/4,15.25,19,34.25
west virginia,WV,SO,3/6,0/4.5,0/-3.5,1.5/4,0.5/2,0/2,--,5,0.5,5.5
west virginia,WV,GI,1/1,0/4.5,0/-2.5,1/4,-1.5/4.5,0/2,0/4,5,0.5,5.5
wisconsin,WI,SO,3.25/6,3.5/4.5,0/-3.5,1.5/4,2/2,0.75/2,--,11,4.5,15.5
wisconsin,WI,GI,0/1,1/4.5,0/-2.5,0/4,4.5/4.5,-0.25/2,-0.75/4,11,4.5,15.5
wyoming,WY,SO,2/6,0/4.5,0/-3.5,0.5/4,0/2,0/2,--,2.5,-0.75,1.75
wyoming,WY,GI,0/1,0/4.5,0/-2.5,0/4,-1/4.5,0/2,0.25/4,2.5,-0.75,1.75
