"","region","case_state","year","govt_fund","lgbtq_perc","lgbtq_perc_actual","lgbtq_total","n","govt_total","perc_confirmed","lgbtq_actual","t","n_facility","state_policy","temp_id"
"98","wisconsin",48,2011,53.2075471698113,1.50943396226415,0.0718778077268643,4,265,141,0.0476190476190476,0.19047619047619,2,366.933766236986,33.7349397590361,98
"99","west virginia",49,2011,71.875,1.04166666666667,0,1,96,69,0,0,2,299.116910715679,12.0481927710843,99
"100","wyoming",50,2011,85,1.66666666666667,0.0980392156862745,1,60,51,0.0588235294117647,0.0588235294117647,2,122.746319489242,12.0481927710843,100
"101","alaska",1,2012,76.8421052631579,3.15789473684211,0,3,95,73,0,0,3,249.068283940348,6.89655172413793,101
"102","alabama",2,2012,61.4864864864865,3.37837837837838,0.12993762993763,5,148,91,0.0384615384615385,0.192307692307692,3,282.093499325412,4.59770114942529,102
"103","arkansas",3,2012,71.5789473684211,8.42105263157895,0.247678018575851,8,95,68,0.0294117647058824,0.235294117647059,3,166.286977874157,20.6896551724138,103
"104","arizona",4,2012,48.0243161094225,8.51063829787234,1.27324509968169,28,329,158,0.149606299212598,4.18897637795276,3,269.569874264997,22.9885057471264,104
"105","california",5,2012,59.7765363128492,8.81440099317194,1.33276166219782,142,1611,963,0.151202749140893,21.4707903780069,3,810.146763058252,80.4597701149425,105
"106","colorado",6,2012,49.6613995485327,8.12641083521445,1.28735221151912,36,443,220,0.158415841584158,5.7029702970297,3,300.749744999203,62.0689655172414,106
"107","connecticut",7,2012,70.4035874439462,7.62331838565022,0.516835144789846,17,223,157,0.0677966101694915,1.15254237288136,3,332.956529004584,80.4597701149425,107
"108","delaware",8,2012,67.5,12.5,1.04166666666667,5,40,27,0.0833333333333333,0.416666666666667,3,211.612340672935,62.0689655172414,108
"109","florida",9,2012,49.0740740740741,7.87037037037037,0.960702486524083,51,648,318,0.122065727699531,6.22535211267606,3,419.320695575123,13.7931034482759,109
"110","georgia",10,2012,41.726618705036,4.67625899280576,0.472880122867998,13,278,116,0.101123595505618,1.31460674157303,3,353.661477709508,13.7931034482759,110
"111","hawaii",11,2012,86.8852459016393,7.37704918032787,0,9,122,106,0,0,3,318.429393213403,68.9655172413793,111
"112","iowa",12,2012,64.1379310344827,8.96551724137931,1.12068965517241,13,145,93,0.125,1.625,3,261.188699729884,71.264367816092,112
"113","idaho",13,2012,62.6168224299065,3.73831775700935,0.299065420560748,4,107,67,0.08,0.32,3,286.168014824127,6.89655172413793,113
"114","illinois",14,2012,50.9554140127389,4.77707006369427,0.542078872475945,30,628,320,0.113475177304965,3.40425531914894,3,435.15078972578,68.9655172413793,114
"115","indiana",15,2012,61.3718411552347,1.80505415162455,0.0887731549979286,5,277,170,0.0491803278688525,0.245901639344262,3,259.564686722385,27.5862068965517,115
"116","kansas",16,2012,55.9471365638767,1.76211453744493,0.251730648206419,4,227,127,0.142857142857143,0.571428571428571,3,262.684529294752,11.4942528735632,116
"117","kentucky",17,2012,48.4567901234568,4.32098765432099,0.332383665716999,14,324,157,0.0769230769230769,1.07692307692308,3,306.533390183727,22.9885057471264,117
"118","louisiana",18,2012,60,5.33333333333333,0,8,150,90,0,0,3,265.674454576219,16.0919540229885,118
"119","massachusetts",19,2012,68.5975609756098,7.01219512195122,0.934959349593496,23,328,225,0.133333333333333,3.06666666666667,3,302.367032138385,73.5632183908046,119
"120","maryland",20,2012,49.4475138121547,5.80110497237569,0.634495856353591,21,362,179,0.109375,2.296875,3,378.89326123296,48.2758620689655,120
"121","maine",21,2012,33.6322869955157,5.82959641255605,1.54312846214719,13,223,75,0.264705882352941,3.44117647058824,3,256.647158319061,62.0689655172414,121
"122","michigan",22,2012,57.0552147239264,7.15746421267894,1.20405940026375,35,489,279,0.168224299065421,5.88785046728972,3,312.844116854542,11.4942528735632,122
"123","minnesota",23,2012,53.314121037464,4.61095100864553,0.626178532038282,16,347,185,0.135802469135802,2.17283950617284,3,247.70234567884,39.0804597701149,123
"124","missouri",24,2012,77.7385159010601,2.82685512367491,0.161534578495709,8,283,220,0.0571428571428571,0.457142857142857,3,359.339506352065,13.7931034482759,124
"125","mississippi",25,2012,68.141592920354,2.65486725663717,0.362027353177796,3,113,77,0.136363636363636,0.409090909090909,3,201.341893242312,4.59770114942529,125
"126","montana",26,2012,78.2608695652174,4.34782608695652,0.197628458498024,3,69,54,0.0454545454545455,0.136363636363636,3,168.302603254564,11.4942528735632,126
"127","north carolina",27,2012,41.8103448275862,4.74137931034483,0.307548928238583,22,464,194,0.0648648648648649,1.42702702702703,3,381.730552041285,16.0919540229885,127
"128","north dakota",28,2012,37.5,3.125,0.78125,2,64,24,0.25,0.5,3,242.886665328362,9.19540229885057,128
"129","nebraska",29,2012,78.0487804878049,4.0650406504065,1.49764655541292,5,123,96,0.368421052631579,1.84210526315789,3,51.5089245130605,13.7931034482759,129
"130","new hampshire",30,2012,59.3220338983051,15.9725991212802,0.241122429045113,5.31070620275757,59,35,0,-1.9262034451754,3,189.055752115769,71.264367816092,130
"131","new jersey",31,2012,56.5333333333333,5.06666666666667,0.502798982188295,19,375,212,0.099236641221374,1.88549618320611,3,314.379605886217,82.7586206896552,131
"132","new mexico",32,2012,78.0645161290323,6.45161290322581,0.889877641824249,10,155,121,0.137931034482759,1.37931034482759,3,239.771773952132,52.8735632183908,132
"133","nevada",33,2012,58.6206896551724,6.89655172413793,1.09717868338558,6,87,51,0.159090909090909,0.954545454545455,3,174.377753902412,66.6666666666667,133
"134","new york",34,2012,57.8778135048232,7.18113612004287,0.99911459061466,67,933,540,0.139130434782609,9.32173913043478,3,517.492015075138,71.264367816092,134
"135","ohio",35,2012,71.875,3.38541666666667,0.415752923976608,13,384,276,0.12280701754386,1.59649122807018,3,225.046548293253,2.29885057471264,135
"136","oklahoma",36,2012,56.8807339449541,7.79816513761468,0.992493744787323,17,218,124,0.127272727272727,2.16363636363636,3,285.150798901236,4.59770114942529,136
"137","oregon",37,2012,63.5593220338983,7.20338983050847,0.564971751412429,17,236,150,0.0784313725490196,1.33333333333333,3,237.208419081144,78.1609195402299,137
"138","pennsylvania",38,2012,56.1938958707361,7.00179533213645,1.57935233055709,39,557,313,0.225563909774436,8.79699248120301,3,263.571811619022,20.6896551724138,138
"139","rhode island",39,2012,65.0793650793651,4.76190476190476,0.680272108843537,3,63,41,0.142857142857143,0.428571428571429,3,270.032116551002,66.6666666666667,139
"140","south carolina",40,2012,53.921568627451,2.94117647058824,0.210084033613445,3,102,55,0.0714285714285714,0.214285714285714,3,219.768240743152,9.19540229885057,140
"141","south dakota",41,2012,76.1194029850746,2.98507462686567,0.33167495854063,2,67,51,0.111111111111111,0.222222222222222,3,150.2034909246,9.19540229885057,141
"142","tennessee",42,2012,65.6903765690377,3.34728033472803,0.167364016736402,8,239,157,0.05,0.4,3,314.730772728957,11.4942528735632,142
"143","texas",43,2012,53.9748953974895,3.97489539748954,0.381589958158996,19,478,258,0.096,1.824,3,325.795925491339,20.6896551724138,143
"144","utah",44,2012,50.5952380952381,5.95238095238095,0.763125763125763,10,168,85,0.128205128205128,1.28205128205128,3,264.210714712292,0,144
"145","virginia",45,2012,61.6379310344828,1.29310344827586,0.105559465165376,3,232,143,0.0816326530612245,0.244897959183673,3,304.474336728361,13.7931034482759,145
"146","vermont",46,2012,76.7441860465116,6.97674418604651,2.32558139534884,3,43,33,0.333333333333333,1,3,154.444005181935,71.264367816092,146
"147","washington",47,2012,54.7974413646055,2.98507462686567,0.346095608911962,14,469,257,0.115942028985507,1.6231884057971,3,251.940580072443,80.4597701149425,147
"148","wisconsin",48,2012,52.5222551928783,3.85756676557863,0.183693655503745,13,337,177,0.0476190476190476,0.619047619047619,3,359.301621562203,45.9770114942529,148
"149","west virginia",49,2012,73.1182795698925,3.2258064516129,0,3,93,68,0,0,3,285.488695858011,9.19540229885057,149
"150","wyoming",50,2012,87.037037037037,5.55555555555556,0.326797385620915,3,54,47,0.0588235294117647,0.176470588235294,3,157.660732769512,9.19540229885057,150
"151","alaska",1,2013,70.9677419354839,8.60215053763441,0,8,93,66,0,0,4,125.502793847089,8.60215053763441,151
"152","alabama",2,2013,56.4935064935065,9.09090909090909,0.34965034965035,14,154,87,0.0384615384615385,0.538461538461539,4,232.777201731013,6.45161290322581,152
"153","arkansas",3,2013,70.7865168539326,10.1123595505618,0.297422339722406,9,89,63,0.0294117647058824,0.264705882352941,4,188.551027599104,25.8064516129032,153
"154","arizona",4,2013,48.2428115015974,13.7380191693291,2.05529420643506,43,313,151,0.149606299212598,6.43307086614173,4,290.421344705873,25.8064516129032,154
"155","california",5,2013,57.9626047711154,21.4700193423598,3.24632594867295,333,1551,899,0.151202749140893,50.3505154639175,4,1291.75497715017,98.9247311827957,155
"156","colorado",6,2013,46.9262295081967,17.0081967213115,2.69436779743548,83,488,229,0.158415841584158,13.1485148514851,4,426.138060551197,88.1720430107527,156
"157","connecticut",7,2013,72.6415094339623,16.0377358490566,1.08730412535977,34,212,154,0.0677966101694915,2.30508474576271,4,266.94191731725,90.3225806451613,157
"158","delaware",8,2013,64.2857142857143,16.6666666666667,1.38888888888889,7,42,27,0.0833333333333333,0.583333333333333,4,123.736315590561,86.0215053763441,158
"159","florida",9,2013,48.0707395498392,13.5048231511254,1.64847606539559,84,622,299,0.122065727699531,10.2535211267606,4,482.341060395993,15.0537634408602,159
"160","georgia",10,2013,34.7222222222222,13.6111111111111,1.37640449438202,49,360,125,0.101123595505618,4.95505617977528,4,331.746221489023,15.0537634408602,160
"161","hawaii",11,2013,86.1788617886179,4.0650406504065,0,5,123,106,0,0,4,183.213162317767,75.2688172043011,161
"162","iowa",12,2013,63.1944444444444,6.25,0.78125,9,144,91,0.125,1.125,4,306.945119804471,75.2688172043011,162
"163","idaho",13,2013,59.8290598290598,8.54700854700855,0.683760683760684,10,117,70,0.08,0.8,4,271.537117550941,17.2043010752688,163
"164","illinois",14,2013,51.0769230769231,9.07692307692308,1.03000545553737,59,650,332,0.113475177304965,6.69503546099291,4,394.956380878925,79.5698924731183,164
"165","indiana",15,2013,61.0909090909091,7.27272727272727,0.357675111773472,20,275,168,0.0491803278688525,0.983606557377049,4,263.372508994574,27.9569892473118,165
"166","kansas",16,2013,57.1428571428571,7.61904761904762,1.08843537414966,16,210,120,0.142857142857143,2.28571428571429,4,230.329636780915,15.0537634408602,166
"167","kentucky",17,2013,47.8658536585366,7.92682926829268,0.609756097560976,26,328,157,0.0769230769230769,2,4,321.644529695866,23.6559139784946,167
"168","louisiana",18,2013,62.0481927710843,11.4457831325301,0,19,166,103,0,0,4,224.993391772935,15.0537634408602,168
"169","massachusetts",19,2013,68.9873417721519,19.620253164557,2.61603375527426,62,316,218,0.133333333333333,8.26666666666667,4,269.23742879345,83.8709677419355,169
"170","maryland",20,2013,46.3888888888889,12.7777777777778,1.39756944444444,46,360,167,0.109375,5.03125,4,393.648889871701,68.8172043010753,170
"171","maine",21,2013,32.4324324324324,9.00900900900901,2.38473767885533,20,222,72,0.264705882352941,5.29411764705882,4,263.376881458151,88.1720430107527,171
"172","michigan",22,2013,56.6462167689162,9.61145194274029,1.61687976606846,47,489,277,0.168224299065421,7.90654205607477,4,327.51631677334,10.752688172043,172
"173","minnesota",23,2013,50.2824858757062,9.88700564971751,1.34267977959127,35,354,178,0.135802469135802,4.75308641975309,4,377.230057602704,73.1182795698925,173
"174","missouri",24,2013,77.9069767441861,5.03875968992248,0.287929125138427,13,258,201,0.0571428571428571,0.742857142857143,4,290.214446689379,15.0537634408602,174
"175","mississippi",25,2013,70.2970297029703,14.8514851485149,2.02520252025203,15,101,71,0.136363636363636,2.04545454545455,4,184.890702894124,10.752688172043,175
"176","montana",26,2013,77.7777777777778,4.16666666666667,0.189393939393939,3,72,56,0.0454545454545455,0.136363636363636,4,242.120525617772,17.2043010752688,176
"177","north carolina",27,2013,41.3394919168591,11.0854503464203,0.719056238686724,48,433,179,0.0648648648648649,3.11351351351351,4,365.767741331405,21.505376344086,177
"178","north dakota",28,2013,33.8461538461538,10.7692307692308,2.69230769230769,7,65,22,0.25,1.75,4,161.154621850873,10.752688172043,178
"179","nebraska",29,2013,78.9473684210526,5.26315789473684,1.93905817174515,6,114,90,0.368421052631579,2.21052631578947,4,100.131852380989,19.3548387096774,179
"180","new hampshire",30,2013,65.4545454545455,3.63636363636364,0,2,55,36,0,0,4,346.168720878203,70.9677419354839,180
"181","new jersey",31,2013,57.5268817204301,15.0537634408602,1.49388492161208,56,372,214,0.099236641221374,5.55725190839695,4,373.357568248758,92.4731182795699,181
"182","new mexico",32,2013,78.4172661870504,17.2661870503597,2.38154304142893,24,139,109,0.137931034482759,3.31034482758621,4,184.139494496252,75.2688172043011,182
"183","nevada",33,2013,59.2592592592593,13.5802469135802,2.16049382716049,11,81,48,0.159090909090909,1.75,4,167.42018293341,70.9677419354839,183
"184","new york",34,2013,56.6850828729282,11.7127071823204,1.62959404275763,106,905,513,0.139130434782609,14.7478260869565,4,670.518511084003,68.8172043010753,184
